asset_id,department,section_id,type,criticality,installation_year,last_inspection_date,failure_count_last_year,cumulative_mgt_approx
AST-ENG-157,Engineering,BZA-VSKP,Track Segment,0.8,2013,2026-08-11,2,187.2
AST-ENG-158,Engineering,BZA-VSKP,Turnout Switch,0.88,2015,2026-08-23,2,158.4
AST-ENG-159,Engineering,BZA-VSKP,Bridge Structure,0.94,2022,2026-08-24,4,57.6
AST-ENG-160,Engineering,BZA-VSKP,Level Crossing Track,0.62,2020,2026-07-26,1,86.4
AST-SNT-161,Signal & Telecom,BZA-VSKP,Electronic Interlocking,0.96,2022,2026-07-27,2,57.6
AST-SNT-162,Signal & Telecom,BZA-VSKP,Point Machine,0.88,2023,2026-08-18,1,43.2
AST-SNT-163,Signal & Telecom,BZA-VSKP,Digital Axle Counter,0.85,2021,2026-08-24,3,72.0
AST-SNT-164,Signal & Telecom,BZA-VSKP,Track Circuit,0.71,2012,2026-07-31,3,201.6
AST-TRD-165,Traction Distribution,BZA-VSKP,OHE Catenary Wire,0.81,2014,2026-04-07,3,172.8
AST-TRD-166,Traction Distribution,BZA-VSKP,Traction Substation,0.91,2013,2026-05-19,6,187.2
AST-TRD-167,Traction Distribution,BZA-VSKP,Section Insulator,0.78,2006,2026-06-21,6,288.0
AST-TRD-168,Traction Distribution,BZA-VSKP,Cantilever Assembly,0.7,2003,2026-05-10,4,331.2
AST-ENG-169,Engineering,NGP-BSL,Track Segment,0.75,2014,2026-08-25,5,144.0
AST-ENG-170,Engineering,NGP-BSL,Turnout Switch,0.88,2024,2026-07-29,2,24.0
AST-ENG-171,Engineering,NGP-BSL,Bridge Structure,0.91,2012,2026-07-27,3,168.0
AST-ENG-172,Engineering,NGP-BSL,Level Crossing Track,0.64,2001,2026-07-23,7,300.0
AST-SNT-173,Signal & Telecom,NGP-BSL,Electronic Interlocking,0.96,2011,2026-07-22,6,180.0
AST-SNT-174,Signal & Telecom,NGP-BSL,Point Machine,0.85,2012,2026-08-08,4,168.0
AST-SNT-175,Signal & Telecom,NGP-BSL,Digital Axle Counter,0.84,2022,2026-08-08,3,48.0
AST-SNT-176,Signal & Telecom,NGP-BSL,Track Circuit,0.67,2010,2026-08-01,5,192.0
AST-TRD-177,Traction Distribution,NGP-BSL,OHE Catenary Wire,0.8,2012,2026-05-16,3,168.0
AST-TRD-178,Traction Distribution,NGP-BSL,Traction Substation,0.95,2020,2026-05-24,3,72.0
AST-TRD-179,Traction Distribution,NGP-BSL,Section Insulator,0.73,2005,2026-05-22,8,252.0
AST-TRD-180,Traction Distribution,NGP-BSL,Cantilever Assembly,0.65,2018,2026-06-16,2,96.0
