slot_id,section_id,slot_type,train_category,start_time,end_time,confidence
SLOT-000109,NDLS-GZB,passenger_timetable,Express,2026-09-09 15:07:00,2026-09-09 15:27:00,0.98
SLOT-000110,NDLS-GZB,passenger_timetable,Superfast,2026-09-09 15:47:00,2026-09-09 16:05:00,0.98
SLOT-000111,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-09 16:27:00,2026-09-09 16:47:00,0.98
SLOT-000112,NDLS-GZB,passenger_timetable,Superfast,2026-09-09 17:03:00,2026-09-09 17:20:00,0.98
SLOT-000113,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-09 17:47:00,2026-09-09 18:04:00,0.98
SLOT-000114,NDLS-GZB,passenger_timetable,Passenger,2026-09-09 18:21:00,2026-09-09 18:38:00,0.98
SLOT-000115,NDLS-GZB,passenger_timetable,Superfast,2026-09-09 18:52:00,2026-09-09 19:17:00,0.98
SLOT-000116,NDLS-GZB,passenger_timetable,Express,2026-09-09 19:40:00,2026-09-09 19:57:00,0.98
SLOT-000117,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-09 20:17:00,2026-09-09 20:32:00,0.98
SLOT-000118,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-09 20:54:00,2026-09-09 21:12:00,0.98
SLOT-000119,NDLS-GZB,passenger_timetable,Superfast,2026-09-09 21:31:00,2026-09-09 21:50:00,0.98
SLOT-000120,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-09 22:00:00,2026-09-09 22:15:00,0.95
SLOT-000121,NDLS-GZB,passenger_timetable,Special Express,2026-09-09 23:07:00,2026-09-09 23:27:00,0.95
SLOT-000122,NDLS-GZB,passenger_timetable,Special Express,2026-09-10 00:27:00,2026-09-10 00:46:00,0.95
SLOT-000123,NDLS-GZB,passenger_timetable,Special Express,2026-09-10 01:31:00,2026-09-10 01:52:00,0.95
SLOT-000124,NDLS-GZB,passenger_timetable,Special Express,2026-09-10 02:57:00,2026-09-10 03:13:00,0.95
SLOT-000125,NDLS-GZB,passenger_timetable,Special Express,2026-09-10 03:56:00,2026-09-10 04:20:00,0.95
SLOT-000126,NDLS-GZB,passenger_timetable,Special Express,2026-09-10 05:10:00,2026-09-10 05:26:00,0.95
SLOT-000127,NDLS-GZB,goods_forecast,Auto Rake,2026-09-09 22:00:00,2026-09-09 22:35:00,0.79
SLOT-000128,NDLS-GZB,goods_forecast,Auto Rake,2026-09-09 23:07:00,2026-09-09 23:35:00,0.83
SLOT-000129,NDLS-GZB,goods_forecast,Container Freight,2026-09-10 00:11:00,2026-09-10 00:44:00,0.81
SLOT-000130,NDLS-GZB,goods_forecast,BoxN Freight,2026-09-10 01:13:00,2026-09-10 01:44:00,0.76
SLOT-000131,NDLS-GZB,goods_forecast,BoxN Freight,2026-09-10 02:09:00,2026-09-10 02:44:00,0.8
SLOT-000132,NDLS-GZB,goods_forecast,BoxN Freight,2026-09-10 03:30:00,2026-09-10 04:04:00,0.8
SLOT-000133,NDLS-GZB,goods_forecast,BoxN Freight,2026-09-10 04:31:00,2026-09-10 05:08:00,0.78
SLOT-000134,NDLS-GZB,goods_forecast,Auto Rake,2026-09-10 05:40:00,2026-09-10 06:18:00,0.8
SLOT-000135,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-09 06:00:00,2026-09-09 06:34:00,0.73
SLOT-000136,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-09 07:46:00,2026-09-09 08:20:00,0.68
SLOT-000137,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-09 09:17:00,2026-09-09 09:56:00,0.72
SLOT-000138,NDLS-GZB,goods_forecast,Goods Freight,2026-09-09 11:22:00,2026-09-09 12:02:00,0.75
SLOT-000139,NDLS-GZB,goods_forecast,Goods Freight,2026-09-09 13:18:00,2026-09-09 13:53:00,0.77
SLOT-000140,NDLS-GZB,goods_forecast,Goods Freight,2026-09-09 15:15:00,2026-09-09 15:49:00,0.77
SLOT-000141,NDLS-GZB,goods_forecast,Goods Freight,2026-09-09 17:07:00,2026-09-09 17:32:00,0.69
SLOT-000142,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-09 18:42:00,2026-09-09 19:09:00,0.71
SLOT-000143,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-09 20:49:00,2026-09-09 21:26:00,0.71
SLOT-000144,NDLS-GZB,passenger_timetable,Express,2026-09-10 06:00:00,2026-09-10 06:25:00,0.98
SLOT-000145,NDLS-GZB,passenger_timetable,Superfast,2026-09-10 06:42:00,2026-09-10 07:03:00,0.98
SLOT-000146,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-10 07:19:00,2026-09-10 07:42:00,0.98
SLOT-000147,NDLS-GZB,passenger_timetable,Superfast,2026-09-10 07:59:00,2026-09-10 08:22:00,0.98
SLOT-000148,NDLS-GZB,passenger_timetable,Superfast,2026-09-10 08:37:00,2026-09-10 08:59:00,0.98
SLOT-000149,NDLS-GZB,passenger_timetable,Passenger,2026-09-10 09:15:00,2026-09-10 09:40:00,0.98
SLOT-000150,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-10 10:04:00,2026-09-10 10:28:00,0.98
SLOT-000151,NDLS-GZB,passenger_timetable,Superfast,2026-09-10 10:52:00,2026-09-10 11:14:00,0.98
SLOT-000152,NDLS-GZB,passenger_timetable,Passenger,2026-09-10 11:40:00,2026-09-10 12:02:00,0.98
SLOT-000153,NDLS-GZB,passenger_timetable,Passenger,2026-09-10 12:27:00,2026-09-10 12:52:00,0.98
SLOT-000154,NDLS-GZB,passenger_timetable,Superfast,2026-09-10 13:11:00,2026-09-10 13:33:00,0.98
SLOT-000155,NDLS-GZB,passenger_timetable,Express,2026-09-10 13:58:00,2026-09-10 14:20:00,0.98
SLOT-000156,NDLS-GZB,passenger_timetable,Passenger,2026-09-10 14:40:00,2026-09-10 14:58:00,0.98
SLOT-000157,NDLS-GZB,passenger_timetable,Express,2026-09-10 15:18:00,2026-09-10 15:38:00,0.98
SLOT-000158,NDLS-GZB,passenger_timetable,Superfast,2026-09-10 15:59:00,2026-09-10 16:16:00,0.98
SLOT-000159,NDLS-GZB,passenger_timetable,Superfast,2026-09-10 16:33:00,2026-09-10 16:50:00,0.98
SLOT-000160,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-10 17:12:00,2026-09-10 17:33:00,0.98
SLOT-000161,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-10 17:48:00,2026-09-10 18:11:00,0.98
SLOT-000162,NDLS-GZB,passenger_timetable,Superfast,2026-09-10 18:32:00,2026-09-10 18:47:00,0.98
SLOT-000163,NDLS-GZB,passenger_timetable,Express,2026-09-10 19:10:00,2026-09-10 19:31:00,0.98
SLOT-000164,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-10 19:54:00,2026-09-10 20:15:00,0.98
SLOT-000165,NDLS-GZB,passenger_timetable,Passenger,2026-09-10 20:42:00,2026-09-10 21:02:00,0.98
SLOT-000166,NDLS-GZB,passenger_timetable,Superfast,2026-09-10 21:16:00,2026-09-10 21:37:00,0.98
SLOT-000167,NDLS-GZB,passenger_timetable,Passenger,2026-09-10 21:59:00,2026-09-10 22:17:00,0.98
SLOT-000168,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-10 22:00:00,2026-09-10 22:22:00,0.95
SLOT-000169,NDLS-GZB,passenger_timetable,Special Express,2026-09-10 23:24:00,2026-09-10 23:44:00,0.95
SLOT-000170,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-11 00:44:00,2026-09-11 01:06:00,0.95
SLOT-000171,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-11 01:56:00,2026-09-11 02:19:00,0.95
SLOT-000172,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-11 03:29:00,2026-09-11 03:53:00,0.95
SLOT-000173,NDLS-GZB,passenger_timetable,Special Express,2026-09-11 04:53:00,2026-09-11 05:18:00,0.95
SLOT-000174,NDLS-GZB,goods_forecast,Coal/Mineral Rake,2026-09-10 22:00:00,2026-09-10 22:39:00,0.71
SLOT-000175,NDLS-GZB,goods_forecast,Coal/Mineral Rake,2026-09-10 23:06:00,2026-09-10 23:41:00,0.77
SLOT-000176,NDLS-GZB,goods_forecast,BoxN Freight,2026-09-11 00:14:00,2026-09-11 00:51:00,0.81
SLOT-000177,NDLS-GZB,goods_forecast,BoxN Freight,2026-09-11 01:23:00,2026-09-11 02:01:00,0.83
SLOT-000178,NDLS-GZB,goods_forecast,Container Freight,2026-09-11 02:44:00,2026-09-11 03:09:00,0.85
SLOT-000179,NDLS-GZB,goods_forecast,Container Freight,2026-09-11 03:44:00,2026-09-11 04:16:00,0.82
SLOT-000180,NDLS-GZB,goods_forecast,Container Freight,2026-09-11 04:48:00,2026-09-11 05:14:00,0.84
SLOT-000181,NDLS-GZB,goods_forecast,Coal/Mineral Rake,2026-09-11 05:53:00,2026-09-11 06:18:00,0.74
SLOT-000182,NDLS-GZB,goods_forecast,Goods Freight,2026-09-10 06:00:00,2026-09-10 06:28:00,0.72
SLOT-000183,NDLS-GZB,goods_forecast,Goods Freight,2026-09-10 08:08:00,2026-09-10 08:44:00,0.74
SLOT-000184,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-10 10:04:00,2026-09-10 10:34:00,0.67
SLOT-000185,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-10 11:41:00,2026-09-10 12:15:00,0.71
SLOT-000186,NDLS-GZB,goods_forecast,Goods Freight,2026-09-10 13:14:00,2026-09-10 13:41:00,0.67
SLOT-000187,NDLS-GZB,goods_forecast,Goods Freight,2026-09-10 14:56:00,2026-09-10 15:24:00,0.7
SLOT-000188,NDLS-GZB,goods_forecast,Goods Freight,2026-09-10 16:48:00,2026-09-10 17:24:00,0.73
SLOT-000189,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-10 18:59:00,2026-09-10 19:24:00,0.77
SLOT-000190,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-10 20:51:00,2026-09-10 21:29:00,0.75
SLOT-000191,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-11 06:00:00,2026-09-11 06:17:00,0.98
SLOT-000192,NDLS-GZB,passenger_timetable,Passenger,2026-09-11 06:41:00,2026-09-11 07:04:00,0.98
SLOT-000193,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-11 07:21:00,2026-09-11 07:44:00,0.98
SLOT-000194,NDLS-GZB,passenger_timetable,Passenger,2026-09-11 08:11:00,2026-09-11 08:32:00,0.98
SLOT-000195,NDLS-GZB,passenger_timetable,Express,2026-09-11 08:56:00,2026-09-11 09:14:00,0.98
SLOT-000196,NDLS-GZB,passenger_timetable,Superfast,2026-09-11 09:35:00,2026-09-11 09:57:00,0.98
SLOT-000197,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-11 10:17:00,2026-09-11 10:41:00,0.98
SLOT-000198,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-11 11:05:00,2026-09-11 11:20:00,0.98
SLOT-000199,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-11 11:41:00,2026-09-11 11:58:00,0.98
SLOT-000200,NDLS-GZB,passenger_timetable,Passenger,2026-09-11 12:19:00,2026-09-11 12:39:00,0.98
SLOT-000201,NDLS-GZB,passenger_timetable,Passenger,2026-09-11 12:57:00,2026-09-11 13:16:00,0.98
SLOT-000202,NDLS-GZB,passenger_timetable,Superfast,2026-09-11 13:37:00,2026-09-11 13:52:00,0.98
SLOT-000203,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-11 14:18:00,2026-09-11 14:36:00,0.98
SLOT-000204,NDLS-GZB,passenger_timetable,Superfast,2026-09-11 14:51:00,2026-09-11 15:14:00,0.98
SLOT-000205,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-11 15:39:00,2026-09-11 16:04:00,0.98
SLOT-000206,NDLS-GZB,passenger_timetable,Express,2026-09-11 16:29:00,2026-09-11 16:44:00,0.98
SLOT-000207,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-11 17:08:00,2026-09-11 17:26:00,0.98
SLOT-000208,NDLS-GZB,passenger_timetable,Passenger,2026-09-11 17:46:00,2026-09-11 18:05:00,0.98
SLOT-000209,NDLS-GZB,passenger_timetable,Passenger,2026-09-11 18:24:00,2026-09-11 18:47:00,0.98
SLOT-000210,NDLS-GZB,passenger_timetable,Passenger,2026-09-11 19:12:00,2026-09-11 19:35:00,0.98
SLOT-000211,NDLS-GZB,passenger_timetable,Passenger,2026-09-11 19:58:00,2026-09-11 20:20:00,0.98
SLOT-000212,NDLS-GZB,passenger_timetable,Superfast,2026-09-11 20:42:00,2026-09-11 21:01:00,0.98
SLOT-000213,NDLS-GZB,passenger_timetable,Passenger,2026-09-11 21:21:00,2026-09-11 21:39:00,0.98
SLOT-000214,NDLS-GZB,passenger_timetable,Superfast,2026-09-11 21:55:00,2026-09-11 22:18:00,0.98
SLOT-000215,NDLS-GZB,passenger_timetable,Special Express,2026-09-11 22:00:00,2026-09-11 22:18:00,0.95
SLOT-000216,NDLS-GZB,passenger_timetable,Special Express,2026-09-11 23:09:00,2026-09-11 23:33:00,0.95
SLOT-000217,NDLS-GZB,passenger_timetable,Special Express,2026-09-12 00:28:00,2026-09-12 00:46:00,0.95
SLOT-000218,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-12 01:33:00,2026-09-12 01:53:00,0.95
SLOT-000219,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-12 02:45:00,2026-09-12 03:00:00,0.95
SLOT-000220,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-12 03:56:00,2026-09-12 04:11:00,0.95
SLOT-000221,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-12 05:06:00,2026-09-12 05:25:00,0.95
SLOT-000222,NDLS-GZB,goods_forecast,Container Freight,2026-09-11 22:00:00,2026-09-11 22:40:00,0.83
SLOT-000223,NDLS-GZB,goods_forecast,Auto Rake,2026-09-11 23:19:00,2026-09-11 23:53:00,0.77
SLOT-000224,NDLS-GZB,goods_forecast,Container Freight,2026-09-12 00:30:00,2026-09-12 01:00:00,0.74
SLOT-000225,NDLS-GZB,goods_forecast,Container Freight,2026-09-12 01:32:00,2026-09-12 02:12:00,0.82
SLOT-000226,NDLS-GZB,goods_forecast,Container Freight,2026-09-12 02:56:00,2026-09-12 03:36:00,0.79
SLOT-000227,NDLS-GZB,goods_forecast,Coal/Mineral Rake,2026-09-12 04:09:00,2026-09-12 04:35:00,0.72
SLOT-000228,NDLS-GZB,goods_forecast,Container Freight,2026-09-12 05:15:00,2026-09-12 05:49:00,0.85
