request_id,asset_id,department,section_id,defect_type,criticality,overdue_days,asset_stress_index,is_monsoon,days_since_last_inspection,failure_count_last_year,is_critical_defect,requested_window_start,requested_window_end,section_traffic_density
REQ-00021,AST-ENG-171,Engineering,NGP-BSL,track_defect,Medium,13,0.658,1,53,3,False,2026-09-18 02:00:00,2026-09-18 07:00:00,38
REQ-00022,AST-ENG-040,Engineering,SBC-JTJ,track_defect,Low,21,0.407,1,60,1,False,2026-09-20 22:00:00,2026-09-21 00:00:00,38
REQ-00023,AST-ENG-052,Engineering,MAS-AJJ,track_defect,Medium,30,0.545,1,48,3,False,2026-09-30 15:00:00,2026-09-30 18:00:00,44
REQ-00024,AST-ENG-027,Engineering,HWH-BWN,track_defect,Low,19,0.491,1,18,2,False,2026-09-09 02:00:00,2026-09-09 05:00:00,46
REQ-00025,AST-ENG-063,Engineering,PUNE-DD,track_defect,Low,64,0.313,1,48,2,False,2026-09-18 04:00:00,2026-09-18 07:00:00,38
REQ-00026,AST-TRD-057,Traction Distribution,MAS-AJJ,traction_fault,Medium,67,0.421,1,114,3,True,2026-09-13 04:00:00,2026-09-13 07:00:00,44
REQ-00027,AST-TRD-130,Traction Distribution,ALD-MGS,traction_fault,Low,58,0.706,1,141,5,False,2026-09-09 04:00:00,2026-09-09 09:00:00,45
REQ-00028,AST-TRD-117,Traction Distribution,JP-AII,traction_fault,Low,55,0.54,0,119,5,False,2026-10-01 23:00:00,2026-10-02 03:00:00,35
REQ-00029,AST-ENG-121,Engineering,ALD-MGS,track_defect,Medium,60,0.56,1,55,4,False,2026-09-17 04:00:00,2026-09-17 09:00:00,45
REQ-00030,AST-SNT-089,Signal & Telecom,LKO-CNB,signal_fault,Low,54,0.307,1,49,1,True,2026-09-27 13:00:00,2026-09-27 17:00:00,40
REQ-00031,AST-TRD-071,Traction Distribution,PUNE-DD,traction_fault,High,20,0.731,1,120,8,False,2026-09-23 02:00:00,2026-09-23 06:00:00,38
REQ-00032,AST-ENG-003,Engineering,NDLS-GZB,track_defect,Low,32,0.256,1,16,1,False,2026-09-08 15:00:00,2026-09-08 19:00:00,48
REQ-00033,AST-TRD-168,Traction Distribution,BZA-VSKP,traction_fault,Low,2,0.778,0,147,4,False,2026-10-04 02:00:00,2026-10-04 07:00:00,41
REQ-00034,AST-TRD-108,Traction Distribution,BPL-ET,traction_fault,Medium,56,0.686,0,138,5,False,2026-10-02 00:00:00,2026-10-02 05:00:00,41
REQ-00035,AST-TRD-117,Traction Distribution,JP-AII,traction_fault,Low,29,0.515,1,115,5,False,2026-09-27 11:00:00,2026-09-27 15:00:00,35
REQ-00036,AST-TRD-105,Traction Distribution,BPL-ET,traction_fault,Medium,70,0.482,1,145,3,False,2026-09-11 00:00:00,2026-09-11 05:00:00,41
REQ-00037,AST-SNT-174,Signal & Telecom,NGP-BSL,signal_fault,Low,62,0.594,0,56,4,False,2026-10-03 15:00:00,2026-10-03 17:00:00,38
REQ-00038,AST-ENG-028,Engineering,HWH-BWN,track_defect,Medium,9,0.65,1,41,5,False,2026-09-08 11:00:00,2026-09-08 16:00:00,46
REQ-00039,AST-SNT-102,Signal & Telecom,BPL-ET,signal_fault,High,69,0.534,1,43,3,False,2026-09-23 04:00:00,2026-09-23 08:00:00,41
REQ-00040,AST-ENG-051,Engineering,MAS-AJJ,track_defect,Medium,83,0.634,1,55,3,True,2026-09-19 22:00:00,2026-09-20 02:00:00,44
REQ-00041,AST-SNT-008,Signal & Telecom,NDLS-GZB,signal_fault,Low,39,0.41,0,59,1,True,2026-10-02 15:00:00,2026-10-02 17:00:00,48
REQ-00042,AST-TRD-108,Traction Distribution,BPL-ET,traction_fault,Low,11,0.62,1,134,5,False,2026-09-28 22:00:00,2026-09-29 02:00:00,41
REQ-00043,AST-TRD-167,Traction Distribution,BZA-VSKP,traction_fault,Low,74,0.65,1,99,6,True,2026-09-28 04:00:00,2026-09-28 08:00:00,41
REQ-00044,AST-SNT-127,Signal & Telecom,ALD-MGS,signal_fault,Medium,18,0.816,1,29,7,False,2026-09-11 15:00:00,2026-09-11 19:00:00,45
REQ-00045,AST-ENG-133,Engineering,GHY-NJP,track_defect,Low,76,0.749,1,66,6,False,2026-09-28 22:00:00,2026-09-29 01:00:00,34
REQ-00046,AST-ENG-014,Engineering,CSMT-KYN,track_defect,Medium,34,0.578,1,40,2,False,2026-09-16 22:00:00,2026-09-17 02:00:00,48
REQ-00047,AST-TRD-131,Traction Distribution,ALD-MGS,traction_fault,Medium,2,0.502,1,110,4,False,2026-09-29 02:00:00,2026-09-29 07:00:00,45
REQ-00048,AST-SNT-006,Signal & Telecom,NDLS-GZB,signal_fault,Low,47,0.526,1,41,2,False,2026-09-18 13:00:00,2026-09-18 16:00:00,48
REQ-00049,AST-TRD-070,Traction Distribution,PUNE-DD,traction_fault,Low,82,0.339,0,127,3,True,2026-10-01 23:00:00,2026-10-02 02:00:00,38
REQ-00050,AST-SNT-029,Signal & Telecom,HWH-BWN,signal_fault,Low,16,0.647,1,46,5,False,2026-09-11 02:00:00,2026-09-11 06:00:00,46
REQ-00051,AST-SNT-019,Signal & Telecom,CSMT-KYN,signal_fault,Low,16,0.718,1,46,6,False,2026-09-23 00:00:00,2026-09-23 04:00:00,48
REQ-00052,AST-ENG-112,Engineering,JP-AII,track_defect,Medium,42,0.729,1,29,7,True,2026-09-11 22:00:00,2026-09-12 01:00:00,35
REQ-00053,AST-ENG-158,Engineering,BZA-VSKP,track_defect,Low,17,0.342,1,37,2,False,2026-09-29 04:00:00,2026-09-29 09:00:00,41
REQ-00054,AST-SNT-068,Signal & Telecom,PUNE-DD,signal_fault,Low,3,0.786,1,66,7,True,2026-09-28 11:00:00,2026-09-28 16:00:00,38
REQ-00055,AST-SNT-149,Signal & Telecom,TVC-QLN,signal_fault,Low,79,0.592,1,44,7,False,2026-09-30 23:00:00,2026-10-01 02:00:00,35
REQ-00056,AST-ENG-052,Engineering,MAS-AJJ,track_defect,Low,27,0.549,0,50,3,False,2026-10-02 23:00:00,2026-10-03 02:00:00,44
REQ-00057,AST-ENG-109,Engineering,JP-AII,track_defect,Low,37,0.657,1,34,6,False,2026-09-21 23:00:00,2026-09-22 03:00:00,35
REQ-00058,AST-SNT-101,Signal & Telecom,BPL-ET,signal_fault,High,34,0.528,1,51,3,False,2026-09-23 22:00:00,2026-09-24 01:00:00,41
REQ-00059,AST-ENG-148,Engineering,TVC-QLN,track_defect,Low,64,0.764,1,57,5,False,2026-09-26 04:00:00,2026-09-26 08:00:00,35
REQ-00060,AST-SNT-091,Signal & Telecom,LKO-CNB,signal_fault,Low,30,0.414,0,49,4,False,2026-10-04 15:00:00,2026-10-04 17:00:00,40
REQ-00061,AST-SNT-102,Signal & Telecom,BPL-ET,signal_fault,High,27,0.505,0,54,3,False,2026-10-04 02:00:00,2026-10-04 06:00:00,41
REQ-00062,AST-TRD-035,Traction Distribution,HWH-BWN,traction_fault,Medium,6,0.824,1,158,4,False,2026-09-15 23:00:00,2026-09-16 02:00:00,46
REQ-00063,AST-SNT-018,Signal & Telecom,CSMT-KYN,signal_fault,Medium,35,0.45,0,76,1,False,2026-10-06 11:00:00,2026-10-06 16:00:00,48
REQ-00064,AST-ENG-172,Engineering,NGP-BSL,track_defect,Low,41,0.889,1,46,7,False,2026-09-07 22:00:00,2026-09-08 00:00:00,38
REQ-00065,AST-TRD-072,Traction Distribution,PUNE-DD,traction_fault,High,13,0.697,1,90,7,False,2026-09-14 22:00:00,2026-09-15 00:00:00,38
REQ-00066,AST-SNT-006,Signal & Telecom,NDLS-GZB,signal_fault,Medium,68,0.51,1,40,2,False,2026-09-17 02:00:00,2026-09-17 06:00:00,48
REQ-00067,AST-TRD-033,Traction Distribution,HWH-BWN,traction_fault,High,7,0.657,1,107,6,False,2026-09-08 13:00:00,2026-09-08 18:00:00,46
REQ-00068,AST-ENG-025,Engineering,HWH-BWN,track_defect,Medium,4,0.936,0,64,9,False,2026-10-01 23:00:00,2026-10-02 04:00:00,46
REQ-00069,AST-SNT-174,Signal & Telecom,NGP-BSL,signal_fault,Low,45,0.566,1,32,4,True,2026-09-09 00:00:00,2026-09-09 04:00:00,38
REQ-00070,AST-SNT-030,Signal & Telecom,HWH-BWN,signal_fault,Low,67,0.348,1,30,1,False,2026-09-24 22:00:00,2026-09-25 00:00:00,46
REQ-00071,AST-ENG-040,Engineering,SBC-JTJ,track_defect,Medium,30,0.391,1,56,1,False,2026-09-16 02:00:00,2026-09-16 04:00:00,38
REQ-00072,AST-TRD-129,Traction Distribution,ALD-MGS,traction_fault,Low,66,0.585,0,111,5,False,2026-10-02 23:00:00,2026-10-03 01:00:00,45
REQ-00073,AST-SNT-174,Signal & Telecom,NGP-BSL,signal_fault,Low,4,0.616,1,45,4,False,2026-09-22 00:00:00,2026-09-22 03:00:00,38
REQ-00074,AST-TRD-059,Traction Distribution,MAS-AJJ,traction_fault,Low,64,0.597,1,98,3,False,2026-09-20 00:00:00,2026-09-20 04:00:00,44
REQ-00075,AST-TRD-083,Traction Distribution,ADI-BRC,traction_fault,Medium,56,0.317,1,111,1,False,2026-09-12 02:00:00,2026-09-12 06:00:00,42
REQ-00076,AST-TRD-106,Traction Distribution,BPL-ET,traction_fault,Low,74,0.329,1,123,1,True,2026-09-24 00:00:00,2026-09-24 05:00:00,41
REQ-00077,AST-SNT-007,Signal & Telecom,NDLS-GZB,signal_fault,Low,21,0.499,1,60,3,False,2026-09-27 22:00:00,2026-09-28 02:00:00,48
REQ-00078,AST-TRD-010,Traction Distribution,NDLS-GZB,traction_fault,Medium,29,0.58,1,89,5,False,2026-09-18 02:00:00,2026-09-18 06:00:00,48
REQ-00079,AST-ENG-123,Engineering,ALD-MGS,track_defect,Low,75,0.474,1,54,2,False,2026-09-27 02:00:00,2026-09-27 06:00:00,45
REQ-00080,AST-TRD-071,Traction Distribution,PUNE-DD,traction_fault,Medium,59,0.768,1,121,8,False,2026-09-24 15:00:00,2026-09-24 18:00:00,38
REQ-00081,AST-TRD-132,Traction Distribution,ALD-MGS,traction_fault,Low,75,0.795,1,154,7,True,2026-09-21 23:00:00,2026-09-22 02:00:00,45
REQ-00082,AST-ENG-013,Engineering,CSMT-KYN,track_defect,Medium,54,0.717,1,39,4,False,2026-09-29 23:00:00,2026-09-30 01:00:00,48
REQ-00083,AST-ENG-003,Engineering,NDLS-GZB,track_defect,Low,25,0.28,0,40,1,False,2026-10-02 11:00:00,2026-10-02 13:00:00,48
REQ-00084,AST-TRD-060,Traction Distribution,MAS-AJJ,traction_fault,Low,44,0.576,1,90,3,False,2026-09-23 22:00:00,2026-09-24 03:00:00,44
REQ-00085,AST-ENG-145,Engineering,TVC-QLN,track_defect,Medium,68,0.727,1,67,7,False,2026-09-27 11:00:00,2026-09-27 15:00:00,35
REQ-00086,AST-SNT-150,Signal & Telecom,TVC-QLN,signal_fault,Low,27,0.65,1,39,7,False,2026-09-08 15:00:00,2026-09-08 19:00:00,35
REQ-00087,AST-ENG-064,Engineering,PUNE-DD,track_defect,Medium,52,0.716,1,44,6,False,2026-09-20 22:00:00,2026-09-21 03:00:00,38
REQ-00088,AST-ENG-073,Engineering,ADI-BRC,track_defect,Medium,57,0.862,1,56,6,False,2026-09-17 04:00:00,2026-09-17 09:00:00,42
REQ-00089,AST-TRD-072,Traction Distribution,PUNE-DD,traction_fault,Low,73,0.733,0,112,7,True,2026-10-06 13:00:00,2026-10-06 15:00:00,38
REQ-00090,AST-ENG-014,Engineering,CSMT-KYN,track_defect,Low,59,0.529,1,44,2,False,2026-09-20 04:00:00,2026-09-20 08:00:00,48
REQ-00091,AST-SNT-018,Signal & Telecom,CSMT-KYN,signal_fault,High,13,0.407,1,57,1,False,2026-09-17 13:00:00,2026-09-17 17:00:00,48
REQ-00092,AST-SNT-138,Signal & Telecom,GHY-NJP,signal_fault,Low,60,0.383,1,41,3,False,2026-09-20 04:00:00,2026-09-20 09:00:00,34
REQ-00093,AST-SNT-007,Signal & Telecom,NDLS-GZB,signal_fault,Low,78,0.501,1,63,3,True,2026-09-30 15:00:00,2026-09-30 20:00:00,48
REQ-00094,AST-SNT-151,Signal & Telecom,TVC-QLN,signal_fault,Low,32,0.282,1,19,3,True,2026-09-08 02:00:00,2026-09-08 07:00:00,35
REQ-00095,AST-SNT-152,Signal & Telecom,TVC-QLN,signal_fault,High,28,0.506,1,47,3,False,2026-09-30 04:00:00,2026-09-30 06:00:00,35
REQ-00096,AST-TRD-119,Traction Distribution,JP-AII,traction_fault,Low,68,0.546,1,149,5,False,2026-09-28 23:00:00,2026-09-29 01:00:00,35
REQ-00097,AST-SNT-044,Signal & Telecom,SBC-JTJ,signal_fault,Medium,51,0.798,0,60,7,False,2026-10-01 15:00:00,2026-10-01 19:00:00,38
REQ-00098,AST-ENG-109,Engineering,JP-AII,track_defect,Medium,65,0.674,1,21,6,False,2026-09-08 04:00:00,2026-09-08 09:00:00,35
REQ-00099,AST-SNT-068,Signal & Telecom,PUNE-DD,signal_fault,Low,74,0.778,1,59,7,False,2026-09-21 02:00:00,2026-09-21 05:00:00,38
REQ-00100,AST-SNT-078,Signal & Telecom,ADI-BRC,signal_fault,Medium,60,0.486,1,39,2,False,2026-09-17 13:00:00,2026-09-17 16:00:00,42
REQ-00101,AST-ENG-002,Engineering,NDLS-GZB,track_defect,Medium,54,0.575,1,42,6,False,2026-09-30 04:00:00,2026-09-30 09:00:00,48
REQ-00102,AST-TRD-179,Traction Distribution,NGP-BSL,traction_fault,Low,1,0.778,1,125,8,False,2026-09-24 02:00:00,2026-09-24 06:00:00,38
REQ-00103,AST-SNT-138,Signal & Telecom,GHY-NJP,signal_fault,Medium,1,0.417,1,42,3,False,2026-09-21 11:00:00,2026-09-21 15:00:00,34
REQ-00104,AST-TRD-096,Traction Distribution,LKO-CNB,traction_fault,Low,42,0.453,1,99,2,False,2026-09-13 02:00:00,2026-09-13 05:00:00,40
REQ-00105,AST-ENG-085,Engineering,LKO-CNB,track_defect,Medium,76,0.759,1,31,6,True,2026-09-12 23:00:00,2026-09-13 01:00:00,40
REQ-00106,AST-TRD-167,Traction Distribution,BZA-VSKP,traction_fault,Low,13,0.697,1,88,6,False,2026-09-17 15:00:00,2026-09-17 17:00:00,41
REQ-00107,AST-TRD-059,Traction Distribution,MAS-AJJ,traction_fault,Low,51,0.644,0,113,3,False,2026-10-05 13:00:00,2026-10-05 16:00:00,44
REQ-00108,AST-TRD-180,Traction Distribution,NGP-BSL,traction_fault,Low,72,0.381,1,105,2,True,2026-09-29 04:00:00,2026-09-29 08:00:00,38
REQ-00109,AST-ENG-016,Engineering,CSMT-KYN,track_defect,High,49,0.894,1,42,5,False,2026-09-13 04:00:00,2026-09-13 07:00:00,48
REQ-00110,AST-TRD-010,Traction Distribution,NDLS-GZB,traction_fault,Low,32,0.636,1,89,5,False,2026-09-18 15:00:00,2026-09-18 20:00:00,48
REQ-00111,AST-TRD-108,Traction Distribution,BPL-ET,traction_fault,Low,74,0.626,1,117,5,False,2026-09-11 02:00:00,2026-09-11 04:00:00,41
REQ-00112,AST-ENG-134,Engineering,GHY-NJP,track_defect,Low,22,0.519,1,64,2,False,2026-09-30 23:00:00,2026-10-01 04:00:00,34
REQ-00113,AST-TRD-165,Traction Distribution,BZA-VSKP,traction_fault,Low,17,0.674,1,171,3,False,2026-09-25 02:00:00,2026-09-25 05:00:00,41
REQ-00114,AST-TRD-130,Traction Distribution,ALD-MGS,traction_fault,Medium,12,0.728,1,141,5,False,2026-09-09 23:00:00,2026-09-10 04:00:00,45
REQ-00115,AST-ENG-063,Engineering,PUNE-DD,track_defect,Medium,51,0.346,1,41,2,False,2026-09-11 04:00:00,2026-09-11 07:00:00,38
REQ-00116,AST-ENG-171,Engineering,NGP-BSL,track_defect,Medium,7,0.626,0,69,3,False,2026-10-04 00:00:00,2026-10-04 02:00:00,38
REQ-00117,AST-SNT-056,Signal & Telecom,MAS-AJJ,signal_fault,Low,25,0.654,1,52,4,False,2026-09-12 04:00:00,2026-09-12 08:00:00,44
REQ-00118,AST-SNT-043,Signal & Telecom,SBC-JTJ,signal_fault,Low,62,0.752,1,36,7,False,2026-09-18 13:00:00,2026-09-18 15:00:00,38
REQ-00119,AST-SNT-125,Signal & Telecom,ALD-MGS,signal_fault,Medium,25,0.188,1,31,0,False,2026-09-24 13:00:00,2026-09-24 16:00:00,45
REQ-00120,AST-TRD-120,Traction Distribution,JP-AII,traction_fault,Medium,36,0.66,1,149,5,False,2026-09-24 02:00:00,2026-09-24 05:00:00,35
REQ-00121,AST-TRD-118,Traction Distribution,JP-AII,traction_fault,Low,13,0.471,1,147,1,False,2026-09-11 04:00:00,2026-09-11 08:00:00,35
REQ-00122,AST-TRD-117,Traction Distribution,JP-AII,traction_fault,High,44,0.459,1,96,5,False,2026-09-08 00:00:00,2026-09-08 02:00:00,35
REQ-00123,AST-ENG-122,Engineering,ALD-MGS,track_defect,Low,52,0.508,0,47,2,False,2026-10-01 13:00:00,2026-10-01 16:00:00,45
REQ-00124,AST-TRD-083,Traction Distribution,ADI-BRC,traction_fault,High,1,0.399,1,125,1,False,2026-09-26 00:00:00,2026-09-26 05:00:00,42
REQ-00125,AST-SNT-103,Signal & Telecom,BPL-ET,signal_fault,Medium,38,0.487,1,47,3,False,2026-09-16 13:00:00,2026-09-16 18:00:00,41
REQ-00126,AST-ENG-148,Engineering,TVC-QLN,track_defect,Low,26,0.804,1,59,5,False,2026-09-28 22:00:00,2026-09-29 02:00:00,35
REQ-00127,AST-ENG-133,Engineering,GHY-NJP,track_defect,Low,76,0.731,1,46,6,False,2026-09-08 04:00:00,2026-09-08 09:00:00,34
REQ-00128,AST-ENG-086,Engineering,LKO-CNB,track_defect,Low,17,0.567,1,35,6,False,2026-09-13 15:00:00,2026-09-13 18:00:00,40
REQ-00129,AST-SNT-138,Signal & Telecom,GHY-NJP,signal_fault,Low,39,0.361,1,38,3,False,2026-09-17 15:00:00,2026-09-17 20:00:00,34
REQ-00130,AST-SNT-068,Signal & Telecom,PUNE-DD,signal_fault,Low,53,0.749,1,61,7,False,2026-09-23 02:00:00,2026-09-23 06:00:00,38
REQ-00131,AST-SNT-020,Signal & Telecom,CSMT-KYN,signal_fault,Medium,5,0.444,1,24,3,False,2026-09-15 23:00:00,2026-09-16 02:00:00,48
REQ-00132,AST-ENG-004,Engineering,NDLS-GZB,track_defect,Medium,13,0.645,1,54,5,False,2026-09-16 22:00:00,2026-09-17 03:00:00,48
REQ-00133,AST-ENG-160,Engineering,BZA-VSKP,track_defect,Medium,15,0.473,0,71,1,False,2026-10-05 04:00:00,2026-10-05 08:00:00,41
REQ-00134,AST-TRD-143,Traction Distribution,GHY-NJP,traction_fault,Medium,21,0.653,1,85,8,False,2026-09-17 11:00:00,2026-09-17 14:00:00,34
REQ-00135,AST-TRD-105,Traction Distribution,BPL-ET,traction_fault,Medium,66,0.522,1,155,3,False,2026-09-21 23:00:00,2026-09-22 03:00:00,41
REQ-00136,AST-SNT-018,Signal & Telecom,CSMT-KYN,signal_fault,Low,66,0.384,1,59,1,False,2026-09-19 23:00:00,2026-09-20 02:00:00,48
REQ-00137,AST-ENG-063,Engineering,PUNE-DD,track_defect,High,58,0.352,1,38,2,False,2026-09-08 00:00:00,2026-09-08 04:00:00,38
REQ-00138,AST-TRD-177,Traction Distribution,NGP-BSL,traction_fault,Medium,9,0.578,0,140,3,False,2026-10-03 23:00:00,2026-10-04 03:00:00,38
REQ-00139,AST-SNT-163,Signal & Telecom,BZA-VSKP,signal_fault,Low,10,0.362,1,17,3,False,2026-09-10 22:00:00,2026-09-11 01:00:00,41
REQ-00140,AST-SNT-139,Signal & Telecom,GHY-NJP,signal_fault,Low,66,0.54,1,29,4,False,2026-09-18 22:00:00,2026-09-19 02:00:00,34
REQ-00141,AST-TRD-012,Traction Distribution,NDLS-GZB,traction_fault,Low,32,0.921,1,170,6,False,2026-09-25 11:00:00,2026-09-25 15:00:00,48
REQ-00142,AST-SNT-017,Signal & Telecom,CSMT-KYN,signal_fault,Medium,23,0.324,1,42,0,True,2026-09-19 23:00:00,2026-09-20 03:00:00,48
REQ-00143,AST-SNT-116,Signal & Telecom,JP-AII,signal_fault,Low,15,0.497,1,42,3,False,2026-09-28 02:00:00,2026-09-28 05:00:00,35
REQ-00144,AST-ENG-074,Engineering,ADI-BRC,track_defect,Medium,5,0.365,1,44,1,False,2026-09-18 15:00:00,2026-09-18 19:00:00,42
REQ-00145,AST-SNT-041,Signal & Telecom,SBC-JTJ,signal_fault,Medium,10,0.375,1,42,3,False,2026-09-26 22:00:00,2026-09-27 00:00:00,38
REQ-00146,AST-ENG-025,Engineering,HWH-BWN,track_defect,Low,11,0.926,1,62,9,False,2026-09-29 15:00:00,2026-09-29 20:00:00,46
REQ-00147,AST-ENG-026,Engineering,HWH-BWN,track_defect,Low,67,0.439,1,40,4,False,2026-09-26 04:00:00,2026-09-26 08:00:00,46
REQ-00148,AST-TRD-069,Traction Distribution,PUNE-DD,traction_fault,Medium,10,0.408,1,88,2,False,2026-09-12 22:00:00,2026-09-13 02:00:00,38
REQ-00149,AST-SNT-101,Signal & Telecom,BPL-ET,signal_fault,Low,2,0.493,0,61,3,True,2026-10-03 23:00:00,2026-10-04 03:00:00,41
REQ-00150,AST-SNT-006,Signal & Telecom,NDLS-GZB,signal_fault,Medium,26,0.529,1,41,2,True,2026-09-18 15:00:00,2026-09-18 17:00:00,48
REQ-00151,AST-TRD-118,Traction Distribution,JP-AII,traction_fault,Medium,37,0.414,1,152,1,False,2026-09-16 00:00:00,2026-09-16 05:00:00,35
REQ-00152,AST-TRD-130,Traction Distribution,ALD-MGS,traction_fault,Medium,7,0.718,0,164,5,False,2026-10-02 11:00:00,2026-10-02 13:00:00,45
REQ-00153,AST-SNT-031,Signal & Telecom,HWH-BWN,signal_fault,Low,28,0.792,1,46,5,False,2026-09-23 22:00:00,2026-09-24 01:00:00,46
REQ-00154,AST-TRD-048,Traction Distribution,SBC-JTJ,traction_fault,Medium,10,0.664,1,81,5,False,2026-09-08 02:00:00,2026-09-08 05:00:00,38
REQ-00155,AST-ENG-061,Engineering,PUNE-DD,track_defect,Low,72,0.498,1,36,4,True,2026-09-20 04:00:00,2026-09-20 09:00:00,38
REQ-00156,AST-SNT-079,Signal & Telecom,ADI-BRC,signal_fault,Low,35,0.372,1,44,2,True,2026-09-23 23:00:00,2026-09-24 01:00:00,42
REQ-00157,AST-TRD-106,Traction Distribution,BPL-ET,traction_fault,Medium,17,0.295,1,112,1,False,2026-09-13 15:00:00,2026-09-13 20:00:00,41
REQ-00158,AST-SNT-065,Signal & Telecom,PUNE-DD,signal_fault,Low,12,0.614,1,49,3,False,2026-09-12 23:00:00,2026-09-13 03:00:00,38
REQ-00159,AST-TRD-132,Traction Distribution,ALD-MGS,traction_fault,Medium,40,0.733,0,164,7,False,2026-10-01 13:00:00,2026-10-01 18:00:00,45
REQ-00160,AST-SNT-044,Signal & Telecom,SBC-JTJ,signal_fault,Low,27,0.854,1,44,7,False,2026-09-15 13:00:00,2026-09-15 16:00:00,38
REQ-00161,AST-SNT-056,Signal & Telecom,MAS-AJJ,signal_fault,Low,32,0.63,0,71,4,False,2026-10-01 13:00:00,2026-10-01 16:00:00,44
REQ-00162,AST-ENG-088,Engineering,LKO-CNB,track_defect,Low,35,0.374,1,25,2,False,2026-09-17 23:00:00,2026-09-18 03:00:00,40
REQ-00163,AST-SNT-176,Signal & Telecom,NGP-BSL,signal_fault,Low,38,0.668,0,62,5,True,2026-10-02 13:00:00,2026-10-02 17:00:00,38
REQ-00164,AST-ENG-124,Engineering,ALD-MGS,track_defect,Low,49,0.496,1,49,2,False,2026-09-24 22:00:00,2026-09-25 03:00:00,45
REQ-00165,AST-TRD-154,Traction Distribution,TVC-QLN,traction_fault,Medium,42,0.559,0,146,4,False,2026-10-02 04:00:00,2026-10-02 08:00:00,35
REQ-00166,AST-SNT-138,Signal & Telecom,GHY-NJP,signal_fault,Low,34,0.414,1,30,3,False,2026-09-09 15:00:00,2026-09-09 20:00:00,34
REQ-00167,AST-ENG-136,Engineering,GHY-NJP,track_defect,High,62,0.772,1,45,8,False,2026-09-22 11:00:00,2026-09-22 14:00:00,34
